task,level,test_year,features,model,recal,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_run3,hour,2025,cal,logit,month,52609,8759,7,0.377,0.36927614754196625,0.8340287454520223,0.0548187395004287,0.2045577055065703,0.06359173421623474
y_run3,hour,2025,cal,lgbm,month,52609,8759,7,5.637,0.2380836686535239,0.8723845434204645,0.0644194742315346,0.2576306715691684,0.06359173421623474
y_run3,hour,2025,cal+AR(D-2),logit,month,51842,8759,14,0.856,0.5651223990152359,0.9135773689212728,0.03989964636106122,0.14482979754988565,0.06359173421623474
y_run3,hour,2025,cal+AR(D-2),lgbm,month,51842,8759,14,8.622,0.4256134301080348,0.9024453027833559,0.04890061187000772,0.2066018445892076,0.06359173421623474
y_run3,hour,2025,cal+AR(D-1),logit,month,51842,8759,24,1.502,0.6668004163947314,0.9542523017331237,0.033449016653343856,0.11520516620850135,0.06359173421623474
y_run3,hour,2025,cal+AR(D-1),lgbm,month,51842,8759,24,10.379,0.6100622902935352,0.9521822632041842,0.041015873899560205,0.1636371885802658,0.06359173421623474
y_run3,hour,2025,cal+FC,logit,month,52603,8759,38,2.247,0.8241017898108479,0.9833797160302015,0.02366985386117768,0.07716789046314389,0.06359173421623474
y_run3,hour,2025,cal+FC,lgbm,month,52603,8759,38,12.883,0.812559940501245,0.9808810917510595,0.026441723784106995,0.10714649158217732,0.06359173421623474
y_run3,hour,2025,cal+AR(D-1)+FC,logit,month,51842,8759,55,4.905,0.8272408697515801,0.9838608352737893,0.023905604973382528,0.07988897150127493,0.06359173421623474
y_run3,hour,2025,cal+AR(D-1)+FC,lgbm,month,51842,8759,55,18.458,0.8368024242598316,0.9841817273625515,0.024560750335102667,0.10743364507486454,0.06359173421623474
y_run4,hour,2021,cal,logit,month,17545,8760,7,0.193,0.05357429479094316,0.8390644669714438,0.013284229164636742,0.062406092467597124,0.013356164383561644
y_run4,hour,2021,cal,lgbm,month,17545,8760,7,3.752,0.1161545555210389,0.832544690580095,0.015709891454901627,0.09066867201077154,0.013356164383561644
y_run4,hour,2021,cal+AR(D-2),logit,month,16778,8760,14,0.279,0.07697829724301881,0.8708959673902401,0.013544699648219543,0.06148331761173729,0.013356164383561644
y_run4,hour,2021,cal+AR(D-2),lgbm,month,16778,8760,14,5.245,0.11349909356049923,0.8354500603719626,0.013054176604896797,0.12096776082732133,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1),logit,month,16778,8760,24,0.644,0.19017219314740827,0.9284683717172437,0.012665419292372974,0.05428556818987831,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1),lgbm,month,16778,8760,24,6.624,0.1748262987706856,0.9248371539242763,0.013485409598055756,0.11896714551220922,0.013356164383561644
y_run4,hour,2021,cal+FC,logit,month,17539,8760,38,1.053,0.8435621092054313,0.9960088248876865,0.005131395787594539,0.017411590464455298,0.013356164383561644
y_run4,hour,2021,cal+FC,lgbm,month,17539,8760,38,7.316,0.8374119127352798,0.9784539833134073,0.006763521995453117,0.040477545977422084,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1)+FC,logit,month,16778,8760,55,1.824,0.7519274711659796,0.9943989058879722,0.006293325347470078,0.021496398110464738,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1)+FC,lgbm,month,16778,8760,55,9.6,0.8316996733906792,0.9920196275628417,0.005896156348115025,0.03884849169730967,0.013356164383561644
y_run4,hour,2022,cal,logit,month,26305,8760,7,0.221,0.016906958584173945,0.6918908045977011,0.007597765254620952,0.04647689743902341,0.00684931506849315
y_run4,hour,2022,cal,lgbm,month,26305,8760,7,4.174,0.011913098320925089,0.6624540229885058,0.009811251423368937,0.06942339228023697,0.00684931506849315
y_run4,hour,2022,cal+AR(D-2),logit,month,25538,8760,14,0.491,0.08662132809148382,0.9151704980842912,0.006780471049832882,0.03474787701862776,0.00684931506849315
y_run4,hour,2022,cal+AR(D-2),lgbm,month,25538,8760,14,6.057,0.14646365433039615,0.8467873563218391,0.006550878537591005,0.06336584436060286,0.00684931506849315
y_run4,hour,2022,cal+AR(D-1),logit,month,25538,8760,24,0.8,0.0962985112914291,0.9601053639846744,0.008005499067319741,0.03289464755093783,0.00684931506849315
