family,task,test_year,n_days,mean_diff,gw_uncond_z,gw_uncond_p,gw_cond_W,gw_cond_p,boot5_lo,boot5_hi,boot10_lo,boot10_hi,boot20_lo,boot20_hi,boot10_excludes_zero,gw_uncond_bh05,gw_cond_bh05
forecast,y_run4,2021,365,0.00845732763415659,3.029043260060236,0.002453295506240183,10.434176208104642,0.005423097653224672,0.003504349835787977,0.01448679977594611,0.003394034902624306,0.014659595619698292,0.003070603159136051,0.014746243959574046,True,True,True
forecast,y_run4,2022,365,0.0037383645591209237,1.3452587464125956,0.17854169080466686,2.0767535650931674,0.35402888166694474,-0.00046240085726524644,0.009784021380862975,-0.0003304500557786835,0.009991856582600584,-0.00026080414640108874,0.009605675082016799,False,False,False
forecast,y_run4,2023,365,0.011296407556805168,2.5045395751889505,0.0122610887577006,10.513565354809884,0.005212046607552064,0.002988416100108337,0.021198766428597155,0.0027497039067004613,0.021735481963879706,0.002354421060769066,0.02195567137928795,True,True,True
forecast,y_run4,2024,366,0.014774848643089315,3.857977543939017,0.00011432914920583848,22.17687649955549,1.5288062700016494e-05,0.007739484003914694,0.02230513589570139,0.00783378356774166,0.022416802124733192,0.007226275613373508,0.022566337749254994,True,True,True
forecast,y_run4,2025,365,0.019021705521968125,3.4723629521797057,0.0005158983410777918,16.424200629276037,0.00027135020156342503,0.008342646136119791,0.03067053960750673,0.008286902158549415,0.031468719541490185,0.00807349909897978,0.03162569109348645,True,True,True
forecast,y_run6,2021,365,0.002346399035298894,0.7593139264570522,0.44766478867776005,10.109034119700468,0.006380447392611607,-0.003401150917913091,0.008417489045068352,-0.0030906529316320256,0.008088286933369127,-0.003037409791576029,0.007402672590128387,False,False,True
forecast,y_run6,2022,365,0.004425548155011512,1.7125377137132394,0.0867976206529395,2.9924785118513513,0.22397087544267513,0.0005481666642125853,0.010149050655473705,0.0005760329241928158,0.009912395164981705,0.0005977700683083776,0.009372546043444197,True,False,False
forecast,y_run6,2023,365,0.01205306733438129,2.33224334797458,0.019687892949238783,8.09903111568958,0.017430816816920946,0.0028858634506831187,0.0244069669821623,0.002546405491379444,0.025026539712096466,0.0021222483593691557,0.024918385077857423,True,True,True
forecast,y_run6,2024,366,0.006541567610569974,1.897387665934597,0.057776792290785695,7.964272585268989,0.018645763951956305,0.0003520267556399706,0.01328325095233623,0.0005892318856386414,0.013271099506835814,0.0010098989539635938,0.012997525505055833,True,False,True
forecast,y_run6,2025,365,0.013626621050589328,2.7823588650740767,0.005396533131818204,8.299790652600546,0.015766066691017086,0.004776227696188363,0.023353405593404035,0.004824088074370275,0.023862978136371626,0.0045919580810475135,0.0235319054015046,True,True,True
forecast,y_day4,2021,365,0.02080567746362604,2.3378189978712878,0.01939663966292615,6.2678737248185294,0.04354602464454976,0.004412719088911933,0.03963040933554014,0.004555105761494538,0.04005782966525427,0.004828909778857595,0.03803614962403598,True,True,False
forecast,y_day4,2022,365,0.0029513324178384783,0.38706657723693594,0.6987069202803622,0.7421113406663385,0.6900055276519284,-0.013272473497806558,0.018805148990795658,-0.011951490578795,0.01770948179197606,-0.009794101653706077,0.015703104263230083,False,False,False
forecast,y_day4,2023,365,0.043224758188397945,2.49005621880861,0.012772289039941542,12.295138577826817,0.0021386739556242752,0.010319757637018714,0.0790812877333351,0.010835242744036614,0.07870099793338087,0.01126200027265505,0.0781278468844093,True,True,True
forecast,y_day4,2024,366,0.05853152344975217,3.2729074953670674,0.00106447309153479,14.469788629419524,0.0007209834935930048,0.022920733941969963,0.09657367458516865,0.017740694952727648,0.10226127198521659,0.012685011636412485,0.10650917014895157,True,True,True
forecast,y_day4,2025,365,0.05750262641805617,3.124261328790055,0.0017825206650587955,17.67157835856304,0.00014543385503582026,0.021410430182922248,0.0949800698134772,0.020744065876058926,0.09619064907366393,0.022516192928506904,0.09686150259981946,True,True,True
