task,model,features,test_year,PR_AUC,ROC_AUC,Brier,base_rate
y_neg,climatology,-,2023,0.0824943881403575,0.7116910953506699,0.0324744556352816,0.03424657534246575
y_neg,persistence(D-2),-,2023,0.04553986216285204,0.5482742316784869,0.059388698630136974,0.03424657534246575
y_neg,logit,cal,2023,0.07384784254728145,0.7049613869188337,0.03274628967265564,0.03424657534246575
y_neg,lgbm,cal,2023,0.12683828610124098,0.8072423167848699,0.03450224891443245,0.03424657534246575
y_neg,logit,cal+AR,2023,0.17221751326436258,0.8226012608353034,0.03184394596010896,0.03424657534246575
y_neg,lgbm,cal+AR,2023,0.29092992926114897,0.8366686367218282,0.030352060584302305,0.03424657534246575
y_neg,logit,cal+AR+FC,2023,0.7498516215908028,0.9863167848699763,0.021121953311286662,0.03424657534246575
y_neg,lgbm,cal+AR+FC,2023,0.7994109712099784,0.9886201733648542,0.020755902411454318,0.03424657534246575
y_neg,logit,cal+FC,2023,0.7341182621817576,0.9856343577620174,0.02165547445747773,0.03424657534246575
y_neg,lgbm,cal+FC,2023,0.7581228420804662,0.9831430260047282,0.027134401716571686,0.03424657534246575
y_neg,climatology,-,2024,0.19291652987754823,0.8088174583799661,0.04735745520904173,0.052026411657559196
y_neg,persistence(D-2),-,2024,0.07973846677310568,0.5752173402332819,0.08013235428051,0.052026411657559196
y_neg,logit,cal,2024,0.17778051133768347,0.7554363635838073,0.04763997392969935,0.052026411657559196
y_neg,lgbm,cal,2024,0.201027146887556,0.8118615224156793,0.04861167698591868,0.052026411657559196
y_neg,logit,cal+AR,2024,0.31675709132143304,0.840412893229927,0.04412262360074432,0.052026411657559196
y_neg,lgbm,cal+AR,2024,0.29628809596521927,0.8172544613118223,0.04601684940798629,0.052026411657559196
y_neg,logit,cal+AR+FC,2024,0.6952736333175035,0.9785386127592638,0.028568256962382327,0.052026411657559196
y_neg,lgbm,cal+AR+FC,2024,0.6841094281022447,0.9780332834135561,0.0318298927483661,0.052026411657559196
y_neg,logit,cal+FC,2024,0.6353200904405857,0.974555103892087,0.030711906066182272,0.052026411657559196
y_neg,lgbm,cal+FC,2024,0.6235884676107023,0.9691712309670447,0.03489871507601495,0.052026411657559196
y_neg,climatology,-,2025,0.3932167301005657,0.8821405870232326,0.05590963451462395,0.06576093161319785
y_neg,persistence(D-2),-,2025,0.18652546776402118,0.6692198086819559,0.0776563077976938,0.06576093161319785
y_neg,logit,cal,2025,0.37004413878045816,0.8103881522668949,0.05737339442691024,0.06576093161319785
y_neg,lgbm,cal,2025,0.24631511367185477,0.8684423245346042,0.06455801970162701,0.06576093161319785
y_neg,logit,cal+AR,2025,0.5802249829732389,0.9144372818987875,0.041468328944258954,0.06576093161319785
y_neg,lgbm,cal+AR,2025,0.4535382518599169,0.9094557483672112,0.04910949269623031,0.06576093161319785
y_neg,logit,cal+AR+FC,2025,0.8126793899399494,0.9811486720436677,0.02647140882759235,0.06576093161319785
y_neg,lgbm,cal+AR+FC,2025,0.8259350271802851,0.9826480117995303,0.02662074772706097,0.06576093161319785
y_neg,logit,cal+FC,2025,0.826002551326118,0.981926453216017,0.024947496298552713,0.06576093161319785
y_neg,lgbm,cal+FC,2025,0.8181016499604122,0.9792453782910369,0.027477560282874895,0.06576093161319785
y_run4,climatology,-,2021,0.03170849774026565,0.7342481589270899,0.013425479479185029,0.013356164383561644
y_run4,persistence(D-2),-,2021,0.014379979274683834,0.5139048348003572,0.02652408675799086,0.013356164383561644
y_run4,logit,cal,2021,0.054297583159803764,0.8304254913071296,0.013442135012068009,0.013356164383561644
y_run4,lgbm,cal,2021,0.12528362431163897,0.8723011853869196,0.015661455830123683,0.013356164383561644
y_run4,logit,cal+AR,2021,0.08866012578077877,0.8746389301752023,0.013177282483654245,0.013356164383561644
y_run4,lgbm,cal+AR,2021,0.10244842610834998,0.8004817890274329,0.013169390012713809,0.013356164383561644
y_run4,logit,cal+AR+FC,2021,0.6945781051320989,0.9929689655479312,0.008251663245623105,0.013356164383561644
y_run4,lgbm,cal+AR+FC,2021,0.8098653387503534,0.9938609476964215,0.007153335561989601,0.013356164383561644
y_run4,logit,cal+FC,2021,0.8256268624079486,0.9954382332028981,0.005363261808004066,0.013356164383561644
y_run4,lgbm,cal+FC,2021,0.8127396003195257,0.9867775018764258,0.0073165205516849624,0.013356164383561644
y_run4,climatology,-,2022,0.02578104742198112,0.7786992337164751,0.007142106752757618,0.00684931506849315
y_run4,persistence(D-2),-,2022,0.037759044608359674,0.5809195402298851,0.010389269406392692,0.00684931506849315
y_run4,logit,cal,2022,0.017235390133722602,0.6919597701149426,0.007792255448048793,0.00684931506849315
y_run4,lgbm,cal,2022,0.01035306939052304,0.6012049808429119,0.009535997775860823,0.00684931506849315
y_run4,logit,cal+AR,2022,0.07710033327658147,0.9150900383141763,0.007410673928994475,0.00684931506849315
y_run4,lgbm,cal+AR,2022,0.17822668620879664,0.8921149425287357,0.006561657702314302,0.00684931506849315
y_run4,logit,cal+AR+FC,2022,0.6307135136701141,0.9965747126436781,0.00415168215150297,0.00684931506849315
