task,level,test_year,features,model,recal,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_neg,hour,2025,cal+AR(D-1)+FC,logit,month,51842,8759,55,1.966,0.8380971930905172,0.9848090808179559,0.023455876555083598,0.07995521376363356,0.06576093161319785
y_neg,hour,2025,cal+AR(D-1)+FC,lgbm,month,51842,8759,55,12.624,0.8647530063403823,0.9868835882656456,0.023303183863677128,0.11156811591094194,0.06576093161319785
y_run3,hour,2021,cal,logit,month,17545,8760,7,0.225,0.0627406282818412,0.8240391438793107,0.014272478888206763,0.06758645011121253,0.014383561643835616
y_run3,hour,2021,cal,lgbm,month,17545,8760,7,3.936,0.09356104084805894,0.8125457309786706,0.015707659260562185,0.10172567264602694,0.014383561643835616
y_run3,hour,2021,cal+AR(D-2),logit,month,16778,8760,14,0.348,0.08498792364389313,0.8482099194399403,0.014240194833265234,0.06634362127812808,0.014383561643835616
y_run3,hour,2021,cal+AR(D-2),lgbm,month,16778,8760,14,6.225,0.1184831143153181,0.8219699894474043,0.014052516344117747,0.13103153181641183,0.014383561643835616
y_run3,hour,2021,cal+AR(D-1),logit,month,16778,8760,24,0.607,0.16628050641645875,0.9067703909608009,0.013970289456190922,0.06219858677735227,0.014383561643835616
y_run3,hour,2021,cal+AR(D-1),lgbm,month,16778,8760,24,7.202,0.1850939036352723,0.9237271620871343,0.014677534839910607,0.12895782152007337,0.014383561643835616
y_run3,hour,2021,cal+FC,logit,month,17539,8760,38,0.998,0.8488289576912073,0.9960703530891162,0.006093062011494857,0.019663245318172547,0.014383561643835616
y_run3,hour,2021,cal+FC,lgbm,month,17539,8760,38,8.716,0.8522446944115376,0.991422798754279,0.0071264813518363765,0.04497544832147859,0.014383561643835616
y_run3,hour,2021,cal+AR(D-1)+FC,logit,month,16778,8760,55,1.802,0.7768863864346023,0.9948376849002283,0.006731578792422794,0.02277279389395812,0.014383561643835616
y_run3,hour,2021,cal+AR(D-1)+FC,lgbm,month,16778,8760,55,10.937,0.8525265382241722,0.9951401068496273,0.0062268151926105535,0.03899821779295295,0.014383561643835616
y_run3,hour,2022,cal,logit,month,26305,8760,7,0.183,0.024647808712957686,0.6883099455563224,0.008195662262738485,0.049187817125324974,0.007534246575342466
y_run3,hour,2022,cal,lgbm,month,26305,8760,7,4.412,0.037728771066585766,0.8295986085841158,0.012888959084664654,0.07226003966350157,0.007534246575342466
y_run3,hour,2022,cal+AR(D-2),logit,month,25538,8760,14,0.379,0.10095390789215138,0.9123428906037601,0.0074322187088351295,0.036347983206765425,0.007534246575342466
y_run3,hour,2022,cal+AR(D-2),lgbm,month,25538,8760,14,6.12,0.07591320662652819,0.8117214240402646,0.007443636685863883,0.08343701586668026,0.007534246575342466
y_run3,hour,2022,cal+AR(D-1),logit,month,25538,8760,24,0.756,0.11326616699837486,0.9423967068894605,0.009155607648364844,0.03782746927931305,0.007534246575342466
y_run3,hour,2022,cal+AR(D-1),lgbm,month,25538,8760,24,7.148,0.09736129135686003,0.9367362374608752,0.007902230566900367,0.07684673856944706,0.007534246575342466
y_run3,hour,2022,cal+FC,logit,month,26299,8760,38,1.175,0.48614326235046584,0.9943761284340995,0.007793272585262356,0.02727424382356109,0.007534246575342466
y_run3,hour,2022,cal+FC,lgbm,month,26299,8760,38,7.366,0.5831462453190869,0.9946183714299656,0.009330964810461976,0.0687658903699257,0.007534246575342466
y_run3,hour,2022,cal+AR(D-1)+FC,logit,month,25538,8760,55,1.573,0.6348655132943327,0.9967131633798301,0.004414122427326623,0.01427381485686485,0.007534246575342466
y_run3,hour,2022,cal+AR(D-1)+FC,lgbm,month,25538,8760,55,8.713,0.7406408195351927,0.9969449498435006,0.003805573268151954,0.02377809011232372,0.007534246575342466
y_run3,hour,2023,cal,logit,month,35065,8760,7,0.166,0.09092132349405385,0.7130745239127482,0.031792392639248955,0.1506347490503066,0.03333333333333333
