task,level,test_year,features,model,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_neg,hour,2024,cal+AR(D-1)+FC,lgbm,43058,8784,55,3.006,0.7103286365803223,0.9795624105392309,0.02961541489181574,0.14231668871162917,0.052026411657559196
y_neg,hour,2025,cal,logit,52609,8759,7,0.082,0.37004413878045816,0.8103881522668949,0.05737339442691024,0.21723377638674818,0.06576093161319785
y_neg,hour,2025,cal,lgbm,52609,8759,7,1.41,0.24631511367185477,0.8684423245346042,0.06455801970162701,0.2514510742829132,0.06576093161319785
y_neg,hour,2025,cal+AR(D-2),logit,51842,8759,14,0.179,0.5802249829732389,0.9144372818987875,0.041468328944258954,0.1497725581691513,0.06576093161319785
y_neg,hour,2025,cal+AR(D-2),lgbm,51842,8759,14,1.734,0.4535382518599169,0.9094557483672112,0.04910949269623031,0.20132688844235586,0.06576093161319785
y_neg,hour,2025,cal+AR(D-1),logit,51842,8759,24,0.323,0.6798764433014516,0.955647803033389,0.03410458127265029,0.1168991422205639,0.06576093161319785
y_neg,hour,2025,cal+AR(D-1),lgbm,51842,8759,24,2.007,0.5994454573319066,0.9467175343191169,0.043139148758915585,0.17531376016279324,0.06576093161319785
y_neg,hour,2025,cal+FC,logit,52603,8759,38,0.456,0.826002551326118,0.981926453216017,0.024947496298552713,0.0819529681042721,0.06576093161319785
y_neg,hour,2025,cal+FC,lgbm,52603,8759,38,2.335,0.8181016499604122,0.9792453782910369,0.027477560282874895,0.11339393482162295,0.06576093161319785
y_neg,hour,2025,cal+AR(D-1)+FC,logit,51842,8759,55,0.755,0.8280154057467253,0.982750061102285,0.025400339704323663,0.08493639106662551,0.06576093161319785
y_neg,hour,2025,cal+AR(D-1)+FC,lgbm,51842,8759,55,3.272,0.8272941499657339,0.9833343517047537,0.025864340557641356,0.11337189804490441,0.06576093161319785
y_run4,hour,2021,cal,logit,17545,8760,7,0.046,0.054297583159803764,0.8304254913071296,0.013442135012068009,0.06365177756057044,0.013356164383561644
y_run4,hour,2021,cal,lgbm,17545,8760,7,0.765,0.12528362431163897,0.8723011853869196,0.015661455830123683,0.08604682166365492,0.013356164383561644
y_run4,hour,2021,cal+AR(D-2),logit,16778,8760,14,0.055,0.08866012578077877,0.8746389301752023,0.013177282483654245,0.06223679313308871,0.013356164383561644
y_run4,hour,2021,cal+AR(D-2),lgbm,16778,8760,14,0.998,0.10244842610834998,0.8004817890274329,0.013169390012713809,0.15137265586120963,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1),logit,16778,8760,24,0.2,0.2034128316213198,0.9265993625590987,0.012107739334287168,0.05441604152259211,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1),lgbm,16778,8760,24,1.349,0.21365356514491932,0.9409051937687828,0.013334555261209307,0.14495287354424286,0.013356164383561644
y_run4,hour,2021,cal+FC,logit,17539,8760,38,0.207,0.8256268624079486,0.9954382332028981,0.005363261808004066,0.01838310656969666,0.013356164383561644
y_run4,hour,2021,cal+FC,lgbm,17539,8760,38,1.424,0.8127396003195257,0.9867775018764258,0.0073165205516849624,0.04630819886260399,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1)+FC,logit,16778,8760,55,0.257,0.6841507020047148,0.9927820646321167,0.008310930690210782,0.028140526849798238,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1)+FC,lgbm,16778,8760,55,1.534,0.8182564140849288,0.9955677782821136,0.006553091112599586,0.043628955176957945,0.013356164383561644
y_run4,hour,2022,cal,logit,26305,8760,7,0.06,0.017235390133722602,0.6919597701149426,0.007792255448048793,0.04775740017275001,0.00684931506849315
y_run4,hour,2022,cal,lgbm,26305,8760,7,0.886,0.01035306939052304,0.6012049808429119,0.009535997775860823,0.0713629056990145,0.00684931506849315
y_run4,hour,2022,cal+AR(D-2),logit,25538,8760,14,0.099,0.07710033327658147,0.9150900383141763,0.007410673928994475,0.036419287495938195,0.00684931506849315
y_run4,hour,2022,cal+AR(D-2),lgbm,25538,8760,14,1.524,0.17822668620879664,0.8921149425287357,0.006561657702314302,0.058789438762848215,0.00684931506849315
y_run4,hour,2022,cal+AR(D-1),logit,25538,8760,24,0.203,0.0740260907955717,0.9488352490421457,0.010193859492505852,0.03996926710187669,0.00684931506849315
y_run4,hour,2022,cal+AR(D-1),lgbm,25538,8760,24,1.375,0.15906855765834738,0.9252547892720306,0.006626522824154906,0.0506434988372826,0.00684931506849315
y_run4,hour,2022,cal+FC,logit,26299,8760,38,0.231,0.5014235749663417,0.9945306513409962,0.00805008990482584,0.027085931733605552,0.00684931506849315
y_run4,hour,2022,cal+FC,lgbm,26299,8760,38,1.703,0.5062202003897514,0.9934329501915709,0.011421652419368067,0.06328223054781927,0.00684931506849315
