variant,seed,test_year,val_pr_auc,PR_AUC,ROC_AUC,Brier,base_rate,gate_mean,gate_std,epochs,rho,half_life_h,M_corr_target,gate_corr_target
A4,44,2021,0.7270610117204439,0.6334763100970988,0.9863542553580734,0.046321221762097256,0.01335616409778595,0.3656514286994934,0.10229017585515976,10,0.8170159459114075,3.4297803717904407,0.24805974443226161,0.03168247471537848
A4,42,2022,0.7567519785548852,0.622416264427259,0.9942222222222222,0.018569881361081078,0.006849315017461777,0.9817590117454529,0.0434003509581089,16,0.8460381627082825,4.145844961249358,0.26105967645260714,-0.08298501361992923
A4,43,2022,0.7443409916242816,0.6678013327957165,0.9940977011494253,0.014355193915455873,0.006849315017461777,0.9716393351554871,0.07577374577522278,17,0.8812731504440308,5.4842949614014085,0.21620292862877305,-0.08642869592223627
A4,44,2022,0.7909248067896828,0.6525745534479314,0.9961781609195403,0.013859407669962487,0.006849315017461777,0.852687418460846,0.12177471071481705,11,0.8441333174705505,4.090695176517119,0.02953611561823253,-0.11265538326000671
A4,42,2023,0.7511403929983561,0.7536127259773534,0.9838065837360038,0.04905195084197483,0.029566209763288498,0.7549395561218262,0.2172461897134781,50,0.5100980997085571,1.0297034765578463,0.4128922124421011,0.12509454279190793
A4,43,2023,0.7240334033823858,0.7668144257482912,0.9872981102836415,0.055179425433200216,0.029566209763288498,0.7545940279960632,0.20348455011844635,27,0.9097816348075867,7.330960007353159,0.1918338681398635,0.10874909513065754
A4,44,2023,0.7351040143980573,0.7137024457193248,0.9842575867749377,0.03518698819718526,0.029566209763288498,0.9390887022018433,0.1381441354751587,53,0.5641060471534729,1.2107099025083878,-0.3714739607980063,-0.07027923071022507
A4,42,2024,0.8016590363445524,0.7340062929538523,0.9814466010647176,0.07785394818712008,0.044285062700510025,0.6428514122962952,0.20255643129348755,19,0.9365845918655396,10.579906801837621,0.25916971197573535,0.22057512919699165
A4,43,2024,0.7961503868133631,0.6729991362045282,0.9760694255823105,0.06597656874649138,0.044285062700510025,0.7850006222724915,0.17702047526836395,21,0.9101185202598572,7.3597780715071845,0.1929988711780286,0.021993150644036105
A4,44,2024,0.7784137062640151,0.6815967913050711,0.9757113044703131,0.06949177640361373,0.044285062700510025,0.6403725743293762,0.2142704278230667,23,0.6498423218727112,1.60813487074688,-0.4204979172746471,-0.0033952325999489414
A4,42,2025,0.7536953382427447,0.7398047902196508,0.9715191815665061,0.04589143756902163,0.05913916975259781,0.6192058324813843,0.18906524777412415,16,0.8770549893379211,5.283714444163372,0.3525762311162946,0.3152740134406629
A4,43,2025,0.7137611417788232,0.7118068915728557,0.9635816585215929,0.04532059078403122,0.05913916975259781,0.6127660274505615,0.15341231226921082,14,0.9020750522613525,6.725825919529422,0.2848182665407333,0.28627252491332217
A4,44,2025,0.7751114339182595,0.7808215531864131,0.9749190529132283,0.05305299680778442,0.05913916975259781,0.7207906246185303,0.14343731105327606,13,0.7682058811187744,2.6285693309334377,-0.3791819551651817,0.2730155899706607
