lookback,test_year,seed,A1_no_memory,A2_memory,A2L_long_memory,hl_A2,hl_A2L
6,2024,43,0.718999868769546,0.7302045955991755,0.7306194626859751,2.788677326304632,4.894295675480708
6,2024,44,0.7295118167670466,0.7295151653452268,0.7296838845153732,1.327497753762521,4.076523389516081
6,2025,42,0.7158765559682718,0.751118429902442,0.7519587125736759,4.449266432632987,14.13521579536131
6,2025,43,0.7053615526993753,0.7290733166131081,0.7303322801588351,2.5656323004168446,5.529211442947237
6,2025,44,0.7223500622915919,0.7067380818677478,0.7089706988217539,1.2604464430562763,4.282006247121365
12,2021,42,0.634212380828867,0.6206610594040715,0.6200675581528449,2.525029717563163,2.4063324821604866
12,2021,43,0.6187948461179607,0.5854012653662596,0.5853092020888327,3.191455856984276,2.624984906484822
12,2021,44,0.553240955234129,0.6025821023253348,0.6030179411621602,2.4912004230362093,2.5286247831085245
12,2022,42,0.6843959592712348,0.7090706610116071,0.7092396528844765,2.279318874616301,2.079193220608986
12,2022,43,0.719919804335023,0.6530013544614692,0.6529935714186682,3.686853037440021,4.942409557078966
12,2022,44,0.650633229394322,0.6968669897824534,0.6961670501649162,2.2354698775341544,4.109728300886313
12,2023,42,0.7784832596635073,0.7675808049565059,0.7675128489071021,1.392527574964595,1.1723996433468815
12,2023,43,0.7568675311118296,0.7652586101888619,0.7676827709570893,3.8868825841795513,3.839297487981924
12,2023,44,0.761813347185178,0.7384384911959511,0.7409878365255501,0.8895882266614654,1.055821633007869
12,2024,42,0.6832584515735879,0.7590060995000687,0.7589480928964237,3.214418801592491,1.935404710602299
12,2024,43,0.7571654115920278,0.7074840276928922,0.7091084072193587,4.327391904117919,5.040626535198419
12,2024,44,0.7464612816678845,0.7226421975183203,0.7227684037458628,2.0460966285051176,3.629912305631714
12,2025,42,0.7512123860612023,0.7403552754231112,0.7403343386566378,11.249391911239925,12.767401937269685
12,2025,43,0.719948995423827,0.7249682426162647,0.7257637678870247,3.7316504138865025,4.771655782538557
12,2025,44,0.7328369551157434,0.7126904994617804,0.7134008872686577,1.773852232881356,3.514019562360556
24,2021,42,0.5338967949735528,0.5344463829027902,0.5344330032641998,2.4012013575793967,2.392110333710194
24,2021,43,0.514590304861283,0.5023592524664965,0.5023710285079493,2.6642197548428217,2.621449756797621
24,2021,44,0.5864856837632982,0.6413268259988164,0.6414244890525903,2.831990304777584,2.925718661791082
24,2022,42,0.7441219798250284,0.7384143195423108,0.738400780600643,1.6459796217266605,1.6385972732024194
24,2022,43,0.7259847231306056,0.7181135386335505,0.7181135386335505,3.2480048836908546,3.2232878372064353
24,2022,44,0.7007781470433836,0.699820324546756,0.6997074067509115,3.475861557070137,3.9287006008756395
24,2023,42,0.7108899245507061,0.7519981426656346,0.7520430698591962,0.9086018425902358,0.9076468877865717
24,2023,43,0.7335777764610761,0.7553159912254345,0.7557688182900013,10.092361640148784,12.86017811521027
24,2023,44,0.7604156856371723,0.7330096149430231,0.7329414157961792,1.0014661796782778,1.0051158191908347
24,2024,42,0.6666753863272448,0.7372025181315441,0.7371967373334749,0.9802514505334962,0.9783118402946854
24,2024,43,0.7483086461670181,0.7197015547391785,0.7198264740881177,10.58694087066084,14.252878336363372
24,2024,44,0.707047108061071,0.7188421618298104,0.7187576164979427,3.6265331786178763,4.16506984605039
24,2025,42,0.7187657967820458,0.7221962560240923,0.7221881812851563,1.4341580212433498,1.4266229042972047
24,2025,43,0.7483152787598468,0.7570148827055004,0.7576000432372194,8.659500781295606,12.795446995140544
24,2025,44,0.752860836438526,0.7204560729674719,0.7204239291213417,2.4488772473528946,2.6556179334276493
