variant,seed,test_year,val_pr_auc,PR_AUC,ROC_AUC,Brier,base_rate,gate_mean,gate_std,epochs,rho,half_life_h,M_corr_target,gate_corr_target
A1,44,2021,0.8416374139415397,0.6861132996786097,0.9866955293206566,0.028507204096403064,0.015867579728364944,0.0,0.0,10,,,,
A1,42,2022,0.8341820425231101,0.6823762929563784,0.9951142528357718,0.020617360397412382,0.007990867830812931,0.0,0.0,16,,,,
A1,43,2022,0.8390907186673816,0.6607583001530261,0.9957488081538715,0.018965731403202544,0.007990867830812931,0.0,0.0,19,,,,
A1,44,2022,0.8344574432962745,0.6409539254186768,0.994067072168338,0.018362029841947815,0.007990867830812931,0.0,0.0,17,,,,
A1,42,2023,0.8031851854872952,0.7642168553030118,0.986051024428684,0.06929145652039757,0.034246575087308884,0.0,0.0,20,,,,
A1,43,2023,0.8420355152748855,0.7520046524036292,0.9845925925925926,0.05956409352342739,0.034246575087308884,0.0,0.0,48,,,,
A1,44,2023,0.8784650705790833,0.7390902464953196,0.9837281323877068,0.05785066540702633,0.034246575087308884,0.0,0.0,53,,,,
A1,42,2024,0.7652499899444991,0.7016095258394605,0.974975029162207,0.07727740277246978,0.0520264133810997,0.0,0.0,13,,,,
A1,43,2024,0.7629963747378453,0.7755431245681104,0.9814063502266098,0.06175565434918191,0.0520264133810997,0.0,0.0,16,,,,
A1,44,2024,0.7642746662607591,0.7426251832448597,0.9788569728748773,0.07622993070770108,0.0520264133810997,0.0,0.0,12,,,,
A1,42,2025,0.7786530677307872,0.8021365858642601,0.9768753309707116,0.06200630594375371,0.06576093286275864,0.0,0.0,10,,,,
A1,43,2025,0.7744605462142904,0.796633551559208,0.9787037319917987,0.04721884206350184,0.06576093286275864,0.0,0.0,15,,,,
A1,44,2025,0.7756107185357283,0.8046232895474893,0.9786251264477845,0.05054793242015509,0.06576093286275864,0.0,0.0,14,,,,
A2,42,2021,0.8182965879468658,0.6944732453772338,0.9892382579263117,0.0360212628791494,0.015867579728364944,0.0,0.0,10,0.7113276720046997,2.0349448599972555,0.46994797155279705,
A2,43,2021,0.8165719402522904,0.5768312112741004,0.9816384451886351,0.0867845076116802,0.015867579728364944,0.0,0.0,9,0.7660313844680786,2.6006138894391557,0.4284183361426197,
A2,44,2021,0.8352177200528397,0.7410131019630292,0.9896354810363518,0.03276887990956162,0.015867579728364944,0.0,0.0,10,0.7764261960983276,2.7391309196635967,0.3777895981228237,
A2,42,2022,0.8289308169766979,0.6781629493258479,0.9946523097156009,0.013786212958986063,0.007990867830812931,0.0,0.0,18,0.6512058973312378,1.6159936046581442,0.3410433444173514,
A2,43,2022,0.8272532221791942,0.7134694439473825,0.9959444353115239,0.020871862676360972,0.007990867830812931,0.0,0.0,12,0.7960898280143738,3.039542629869741,0.3023860886113426,
A2,44,2022,0.8505271311812117,0.645226852298672,0.9955400295906625,0.02350402598088075,0.007990867830812931,0.0,0.0,13,0.8282926082611084,3.679343981518302,0.037721079062924566,
A2,42,2023,0.8840370917178227,0.7492470119438939,0.9843207249802994,0.0694666254635576,0.034246575087308884,0.0,0.0,41,0.5177635550498962,1.0530365255943477,0.536839472899548,
A2,43,2023,0.8670963107534216,0.7379852177135344,0.9836826241134752,0.0647996543341195,0.034246575087308884,0.0,0.0,42,0.9821747541427612,38.53808849614936,0.3783666336982375,
A2,44,2023,0.9084065664863632,0.738497316882181,0.9836696217494089,0.062184194566268294,0.034246575087308884,0.0,0.0,52,0.5226026773452759,1.0681323389024309,-0.4190389957445816,
A2,42,2024,0.7889054608936223,0.7579537865071632,0.9798265062191248,0.07058731517557497,0.0520264133810997,0.0,0.0,17,0.5716360211372375,1.239416520943633,0.5667597533928753,
A2,43,2024,0.7863869622772065,0.7446204293884815,0.978777218607367,0.0738757930174149,0.0520264133810997,0.0,0.0,26,0.9693830013275146,22.290922536000465,0.3558518665026858,
A2,44,2024,0.7712557207107181,0.7122939489257031,0.9772567632801367,0.07893736886938768,0.0520264133810997,0.0,0.0,12,0.8383433818817139,3.9310214520570685,-0.009333223139518386,
A2,42,2025,0.8019436996650211,0.8144937294112256,0.9801790975871386,0.049210898459651924,0.06576093286275864,0.0,0.0,16,0.6289997696876526,1.4950619463636383,0.5979280915917425,
